127.0.0.1 - - [19/Mar/2024:15:20:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:20:53 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:20:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:23:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:23:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:23:51 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:25:47 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:25:47 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:25:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:40:05 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:40:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:40:13 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:40:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:40:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:40:31 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:40:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:44:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:44:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:44:12 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:44:35 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:44:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:44:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:45:20 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:45:22 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13382
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:45:44 +0530] "GET /project_3/ HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:45:44 +0530] "GET /project_3/img/schoolimg.jpg HTTP/1.1" 200 104382
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:54:47 +0530] "GET /project_3/ HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [19/Mar/2024:15:54:47 +0530] "GET /project_3/img/school_img.jpg HTTP/1.1" 200 173059
