127.0.0.1 - - [08/Apr/2024:16:24:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Apr/2024:16:24:05 +0530] "GET /project_3/ HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [08/Apr/2024:16:24:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [08/Apr/2024:16:24:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2024:16:24:14 +0530] "GET /project_3/LoginCtl HTTP/1.1" 500 1010
0:0:0:0:0:0:0:1 - - [08/Apr/2024:16:24:14 +0530] "GET /project_3/img/500.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:16:24:14 +0530] "GET /project_3/ErrorCtl/img/logo.png HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [08/Apr/2024:16:24:56 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7186
0:0:0:0:0:0:0:1 - - [08/Apr/2024:17:22:48 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2024:17:22:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [08/Apr/2024:17:22:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2024:17:23:22 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 20315
0:0:0:0:0:0:0:1 - - [08/Apr/2024:17:23:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Apr/2024:17:30:34 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 15684
0:0:0:0:0:0:0:1 - - [08/Apr/2024:17:30:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
